,nameWithOwner,createdAt,forkCount,primaryLanguage.name,stargazers.totalCount,releases.totalCount,releases.nodes
12,kingspp/Android-TCP-IP-Socket,2015-07-10T14:29:18Z,23,Java,19,2,"[{'publishedAt': '2015-07-10T17:12:20Z'}, {'publishedAt': '2015-07-11T07:39:09Z'}]"
13,mvallim/java-fluent-validator,2019-08-10T02:12:08Z,3,Java,19,0,[]
14,otrosien/uuid-jpa-rest-example,2016-03-10T13:12:11Z,10,Java,17,0,[]
15,breakingsword/Android-Primary-Road,2016-09-12T03:44:52Z,10,Java,16,0,[]
16,codehaus/jcsp,2012-04-16T08:58:53Z,9,Java,10,0,[]
17,usf-cs212-2017/lectures,2016-12-06T04:03:13Z,5,Java,9,0,[]
18,oracle/sales-cloud-with-paas-samples,2016-02-15T16:14:34Z,16,Java,8,0,[]
19,latemic/ColorBooth,2011-02-24T10:27:51Z,4,Java,8,0,[]
20,SiteMorph/protostore,2013-10-25T18:10:54Z,2,Java,8,0,[]
21,hornhuang/android_primary_4_animationandgestures,2019-06-14T02:41:59Z,0,Java,7,0,[]
22,hornhuang/android_primary_4_estureDetector,2019-06-19T08:53:29Z,0,Java,7,0,[]
23,MinimumContent/muon,2016-11-20T06:09:21Z,4,Java,7,2,"[{'publishedAt': '2017-01-26T23:16:33Z'}, {'publishedAt': '2017-03-16T00:03:28Z'}]"
24,sibsankarb4/Integration-between-Oracle-ADF-and-Oracle-E-Business-Suite,2019-01-17T11:07:02Z,3,Java,7,0,[]
25,jcdny/RBloomberg,2010-11-10T18:44:49Z,6,Java,6,0,[]
26,Shashi-Bhushan/trials,2015-12-21T07:07:59Z,1,Java,6,0,[]
27,pavex/react-native-wifi-manager,2017-02-07T16:53:17Z,0,Java,6,0,[]
28,TechnoZoom/NoteMakingMVVMDataBinding,2017-06-16T23:00:40Z,0,Java,6,0,[]
29,pandyav/Primary-Flight-Display-PFD-,2014-11-16T18:45:20Z,2,Java,5,0,[]
30,The-Hive-of-Five/Interstellar-Merchant,2019-01-12T23:24:46Z,0,Java,5,0,[]
31,NeedsMorePie/FFT-Analyze-Record,2015-01-30T18:04:19Z,2,Java,5,0,[]
32,CAPS-Robotics/unofficial-frc-game-frame,2017-05-20T15:32:35Z,0,Java,5,0,[]
